DAUID,POP_2016,POP_DENSITY,LANDAREA
35200471,1368,29044.6,0.05
35200472,636,6162.8,0.1
35200475,532,2288.2,0.23
35200478,502,4808.4,0.1
35200479,537,5028.1,0.11
35200480,400,4347.8,0.09
35200481,401,5332.4,0.08
35200482,426,5974.8,0.07
35200483,451,4460.9,0.1
35200484,748,21310.5,0.04
35200488,383,5120.3,0.07
35200489,358,9623.7,0.04
35200490,350,4710.6,0.07
35200491,474,3618.3,0.13
35200492,282,4676.6,0.06
35200493,314,4231.8,0.07
35200494,379,5170.5,0.07
35200495,478,2869.1,0.17
35200497,951,28818.2,0.03
35200498,518,4160.6,0.12
35200499,934,8895.2,0.11
35200505,443,8824.7,0.05
35200506,396,5329.7,0.07
35200510,425,7495.6,0.06
35200511,461,7158.4,0.06
35200512,409,6782.8,0.06
35200513,413,6988.2,0.06
35200514,473,7580.1,0.06
35200515,476,4423.8,0.11
35200516,449,7458.5,0.06
35200517,521,6983.9,0.07
35200518,495,9252.3,0.05
35200519,410,7044.7,0.06
35200520,555,6615,0.08
35200521,579,6542.4,0.09
35200522,567,6450.5,0.09
35200523,574,3644.4,0.16
35200524,507,4416.4,0.11
35200525,446,2447.9,0.18
35200529,786,2822.3,0.28
35200531,685,4126.5,0.17
35200532,439,3944.3,0.11
35200533,264,3611.5,0.07
35200534,525,3211,0.16
35200535,440,6470.6,0.07
35200536,998,7028.2,0.14
35200538,2241,8573.1,0.26
35200539,1004,21921.4,0.05
35200540,496,32631.6,0.02
35200541,1192,7061.6,0.17
35200542,502,29017.3,0.02
35200545,257,1992.2,0.13
35200561,782,1109.2,0.71
35200562,521,5524.9,0.09
35200563,480,4181.2,0.11
35200564,584,5916.9,0.1
35200565,528,4587.3,0.12
35200566,529,6011.4,0.09
35200567,578,5995.9,0.1
35200568,497,6752.7,0.07
35200569,600,8955.2,0.07
35200570,473,9594.3,0.05
35200571,576,9142.9,0.06
35200572,575,10195,0.06
35200573,528,8288.9,0.06
35200574,438,6908.5,0.06
35200575,562,3200.5,0.18
35200576,740,5601.8,0.13
35200577,563,9022.4,0.06
35200578,358,8731.7,0.04
35200579,730,8700.8,0.08
35200580,497,9650.5,0.05
35200581,375,8865.2,0.04
35200582,806,8995.5,0.09
35200583,799,10485.6,0.08
35200584,498,8097.6,0.06
35200585,449,11169.2,0.04
35200586,569,10421.2,0.05
35200587,721,10665.7,0.07
35200588,759,7816.7,0.1
35200589,639,9580.2,0.07
35200590,500,10822.5,0.05
35200591,578,7448.5,0.08
35200593,740,13143.9,0.06
35200594,516,5843.7,0.09
35200595,467,10518,0.04
35200596,615,5885.2,0.1
35200597,370,8240.5,0.04
35200598,403,5926.5,0.07
35200599,547,7607.8,0.07
35200600,434,8714.9,0.05
35200601,415,7306.3,0.06
35200602,456,7125,0.06
35200603,685,7801.8,0.09
35200604,581,8531.6,0.07
35200605,700,9589,0.07
35200606,420,8823.5,0.05
35200610,320,9439.5,0.03
35200611,526,7245.2,0.07
35200612,639,8309.5,0.08
35200639,1939,24389.9,0.08
35200640,566,5511.2,0.1
35200641,1015,35614,0.03
35200642,426,3203,0.13
35200643,510,3857.8,0.13
35200644,478,1506.9,0.32
35200645,474,6022.9,0.08
35200646,435,5815.5,0.07
35200647,458,5782.8,0.08
35200648,512,13162,0.04
35200649,530,7958,0.07
35200650,742,7868.5,0.09
35200651,715,9407.9,0.08
35200652,608,8117.5,0.07
35200653,428,9365.4,0.05
35200654,1917,5724.1,0.33
35200655,529,6087.5,0.09
35200656,419,10371.3,0.04
35200657,875,8811.7,0.1
35200658,552,2773.9,0.2
35200659,417,5387.6,0.08
35200660,752,5204.2,0.14
35200661,711,22500,0.03
35200662,778,13992.8,0.06
35200663,289,8704.8,0.03
35200664,731,9543.1,0.08
35200665,847,8678.3,0.1
35200666,754,8636.9,0.09
35200667,472,10283.2,0.05
35200668,325,10450.2,0.03
35200669,368,10887.6,0.03
35200670,525,10057.5,0.05
35200671,418,9414.4,0.04
35200672,301,6529.3,0.05
35200673,608,19119.5,0.03
35200674,945,8267.7,0.11
35200675,583,6406.6,0.09
35200676,631,7388.8,0.09
35200677,516,8881.2,0.06
35200678,689,3346.3,0.21
35200679,553,9718.8,0.06
35200680,849,11304.9,0.08
35200681,564,9674.1,0.06
35200682,434,8966.9,0.05
35200683,814,5062.2,0.16
35200686,1014,8629.8,0.12
35200687,491,11746.4,0.04
35200688,451,6583.9,0.07
35200689,372,12653.1,0.03
35200690,409,13151.1,0.03
35200691,282,9527,0.03
35200692,320,9356.7,0.03
35200693,475,10771,0.04
35200694,577,6361.6,0.09
35200695,601,9361.4,0.06
35200696,321,5582.6,0.06
35200697,522,15443.8,0.03
35200698,303,6965.5,0.04
35200699,421,12167.6,0.03
35200700,302,12531.1,0.02
35200701,488,11816,0.04
35200702,577,8448,0.07
35200703,631,6266.1,0.1
35200704,523,8408.4,0.06
35200705,969,13922.4,0.07
35200706,450,7086.6,0.06
35200707,394,10368.4,0.04
35200708,504,3274.9,0.15
35200709,526,10096,0.05
35200710,511,9240.5,0.06
35200711,464,6946.1,0.07
35200712,749,10475.5,0.07
35200713,447,11580.3,0.04
35200714,409,9253.4,0.04
35200715,419,10244.5,0.04
35200716,343,9554.3,0.04
35200717,471,10397.4,0.05
35200718,1410,15684.1,0.09
35200719,961,3076.2,0.31
35200720,562,8659.5,0.06
35200724,623,9382.5,0.07
35200725,638,9193.1,0.07
35200726,412,8357,0.05
35200727,508,6430.4,0.08
35200728,1060,14133.3,0.08
35200729,364,7474.3,0.05
35200730,339,7618,0.04
35200731,463,8990.3,0.05
35200732,601,7438.1,0.08
35200733,542,12402.7,0.04
35200734,365,8371.6,0.04
35200735,440,7913.7,0.06
35200736,370,10914.5,0.03
35200737,406,5607.7,0.07
35200738,451,9129.6,0.05
35200739,601,9677.9,0.06
35200740,521,6456,0.08
35200741,635,7772.3,0.08
35200744,893,4371,0.2
35200745,635,2129.4,0.3
35200746,976,670.4,1.46
35200747,546,1087.9,0.5
35200748,569,5177.4,0.11
35200749,504,4520.2,0.11
35200750,494,3868.4,0.13
35200751,548,1905.4,0.29
35200752,386,2714.5,0.14
35200753,640,3328.1,0.19
35200754,726,3807,0.19
35200755,446,17768.9,0.03
35200756,840,39810.4,0.02
35200757,684,8976.4,0.08
35200768,397,17566.4,0.02
35200769,448,18823.5,0.02
35200770,729,21069.4,0.03
35200771,910,27164.2,0.03
35200772,849,20070.9,0.04
35200774,454,12303.5,0.04
35200782,2267,29556.7,0.08
35200783,520,25000,0.02
35200791,430,3164.1,0.14
35200792,702,1329.8,0.53
35200794,544,8143.7,0.07
35200795,448,7901.2,0.06
35200796,479,10148.3,0.05
35200797,428,7711.7,0.06
35200798,439,9203.4,0.05
35200801,1873,50349.5,0.04
35200802,655,10513.6,0.06
35200803,546,17388.5,0.03
35200804,5,203.3,0.02
35200805,1703,17684.3,0.1
35200806,507,4470.9,0.11
35200807,197,7695.3,0.03
35200808,417,10859.4,0.04
35200809,258,11168.8,0.02
35200810,466,20991,0.02
35200811,981,15873.8,0.06
35200812,508,9788.1,0.05
35200813,328,10092.3,0.03
35200814,1089,33507.7,0.03
35200815,657,23052.6,0.03
35200821,637,18958.3,0.03
35200822,907,11965.7,0.08
35200826,1096,73557,0.01
35200827,415,25460.1,0.02
35200828,558,35094.3,0.02
35200829,0,0,0.02
35200830,1252,21148.6,0.06
35200831,590,33522.7,0.02
35200832,646,2213.8,0.29
35200833,806,9285.7,0.09
35200855,1242,2628,0.47
35200859,323,10986.4,0.03
35200860,766,26877.2,0.03
35200861,526,8608.8,0.06
35200862,402,11652.2,0.03
35200863,411,12342.3,0.03
35200864,406,4993.8,0.08
35200865,687,21335.4,0.03
35200866,436,11534.4,0.04
35200867,928,26514.3,0.04
35200868,409,12393.9,0.03
35200869,663,13870.3,0.05
